YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.3979081	0.1273401	0.0157840	0.2948817	0.6626479	0.2411993	0.7008341	0.5603825	0.5351537	0.0300606
0.3666137	0.2186179	0.2018395	0.2823476	0.7750192	0.1876661	0.6819024	0.6926504	0.6765908	0.0033081
0.5456440	0.2389165	0.1662172	0.2802013	0.8085677	0.2347450	0.5950163	0.7689594	0.6709766	0.0316894
0.3782539	0.2726497	0.0247919	0.3699028	0.7202085	0.2510169	0.7789807	0.6123770	0.7444548	0.0428577
0.4085884	0.0585065	0.0845611	0.3453850	0.7598702	0.2925686	0.6052982	0.8839099	0.7907177	0.0262096
0.2343965	0.1567806	0.1669381	0.2448233	0.7583911	0.3300943	0.7029175	0.6011385	0.5778855	0.0015255
0.3984184	0.0003377	0.1221837	0.4360607	0.2318114	0.7994399	0.6090338	0.5800824	0.6420107	0.0083142
0.3499840	0.0001569	0.1019954	0.2966200	0.5902000	0.3170700	0.7338516	0.6043688	0.7156726	0.0486737
0.3400386	0.0015438	0.1908406	0.1520433	0.7175066	0.3832447	0.7188772	0.8369554	0.8086009	0.0381437
0.3702934	0.0004851	0.0126756	0.2664766	0.9732578	0.1803620	0.8228444	0.6821521	0.6652787	0.0004479
