YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0000000	0.0005796	0.5927337	0.3153572	0.5061701	0.6756953	0.1323518	0.2805299	0.4822452	0.2814700
0.0540705	0.0000000	0.5703454	0.3498737	0.5254702	0.7985172	0.0528917	0.2261756	0.5155928	0.2551577
0.7550346	0.8126356	0.0000000	0.2409370	0.7684283	0.6904966	0.0496950	0.2138161	0.6941149	0.5754235
0.0737136	0.0010609	0.6119314	0.0000000	0.6632708	0.8441235	0.0698044	0.2659176	0.5105536	0.3079810
0.6179948	0.7971490	0.0914383	0.7201355	0.0000000	0.6606796	0.0778343	0.2539052	0.6171582	0.6365022
0.0740246	0.0120943	0.6981276	0.4330007	0.5033857	0.0000000	0.0790107	0.2160048	0.4451099	0.4389959
0.0657421	0.0025842	0.6228092	0.3959910	0.5820270	0.7719034	0.0000000	0.3435162	0.4745773	0.2421107
0.1024432	0.0018821	0.7250392	0.2119010	0.7584219	0.0237263	0.6938797	0.0000000	0.3492081	0.2605244
0.1686317	0.0252967	0.2128542	0.4720883	0.3926483	0.6558133	0.0739589	0.5785203	0.0000000	0.5674933
0.6585788	0.0936926	0.3390846	0.4584229	0.4869353	0.5634166	0.0793874	0.6880492	0.0177676	0.0000000
