YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.0000000	0.9951698	0.9714749	0.9997257	0.0701061	0.1606946	0.7550672	0.5407142	0.9999031	1.0000000
0.8686488	0.0000001	0.9714806	0.9998367	0.0604002	0.1441717	0.8908072	0.3386105	0.9999439	1.0000000
0.2738331	0.0313135	0.0000000	0.9997815	0.0657211	0.1534701	0.8057975	0.4685211	0.9999232	1.0000000
0.2738327	0.0313135	0.0024205	0.0000000	0.0657227	0.1534697	0.8057985	0.4685212	0.9999232	1.0000000
0.8686489	0.9951701	0.9714892	0.9999999	0.0000000	0.1441717	0.8908072	0.3386105	0.9999439	1.0000000
0.8686439	0.9951701	0.9714889	0.9999939	0.0236660	0.0000000	0.8908126	0.3386015	1.0000000	1.0000000
0.9208435	0.9925380	0.8841052	0.4588445	0.7624080	1.0000000	0.0000000	0.4591837	0.5493135	1.0000000
0.8017033	0.9951700	0.9714825	0.9998750	0.0559009	0.1357688	0.9999999	0.0000002	0.9999585	1.0000000
0.9998818	0.9951695	0.9714599	0.9994271	0.0865636	0.1852396	0.6365570	0.7113704	0.0000005	1.0000000
0.8686488	0.9951699	0.9714806	0.9998367	0.0604002	0.1441717	0.8908072	0.3386105	0.9999439	0.0000016
