YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.1970538	0.4588763	0.7389017	0.9998811	0.0562136	0.2160442	0.9569742	0.3791630	0.2288534	1.0000000
0.6837369	0.2389145	0.6936029	0.9997679	0.0606182	0.2250891	0.9998590	0.0775182	0.2400304	1.0000000
0.2916554	0.6756837	0.3538743	0.9997254	0.0831080	0.2669851	0.9818376	0.2976489	0.2883727	1.0000000
0.3812624	0.4764715	0.6967580	0.4999611	0.0603978	0.2246418	0.9936861	0.2214528	0.2394902	1.0000000
0.3812642	0.4764696	0.6967615	0.9999855	0.0301986	0.2246408	0.9936858	0.2214509	0.1478642	1.0000000
0.3812647	0.4764694	0.6967614	0.9999969	0.0190214	0.1123204	0.9936858	0.2214499	0.1056904	1.0000000
0.3812647	0.4764694	0.6967614	0.9985354	0.1213632	0.3278025	0.4968430	0.2214498	0.3449033	1.0000000
0.3803624	0.4777913	0.6936783	0.9998538	0.0606136	0.2250866	0.9994788	0.1110526	0.2399904	1.0000000
0.3812621	0.4764709	0.6967608	0.9998550	0.0603978	0.2246415	0.9936866	0.2214532	0.1197543	1.0000000
0.3812638	0.4764698	0.6967614	0.9998550	0.0603973	0.2246410	0.9936858	0.2214516	0.3171751	0.5000047
