YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.2839662	0.9162161	0.5161375	1.0000000	0.4260506	0.4032189	0.1300014	0.1707378	0.9956664	1.0000000
0.9127308	0.4581209	0.5161375	1.0000000	0.4258187	0.4036919	0.1300014	0.1707378	0.9956664	1.0000000
0.5057703	0.9957800	0.2580688	1.0000000	0.4283777	0.4194198	0.0608663	0.0892150	0.9996635	1.0000000
0.8548819	0.5556355	0.8489809	0.5000000	0.3479168	0.5928308	0.2304342	0.2427182	0.9708444	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.2798176	0.7719843	0.1300014	0.1707378	0.9956664	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4104412	0.2187112	0.1300014	0.1707378	0.9956664	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4276682	0.4157901	0.0649900	0.1706944	0.9995794	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4287262	0.4220926	0.0589700	0.0853528	0.9996966	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4257146	0.4031726	0.8009572	0.7220478	0.1858752	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4258036	0.4037303	0.1299611	0.1707001	0.9990848	0.5001265
