parent	child	parent_depth	child_depth
0	1	0	1
1	4	1	2
1	3	1	2
3	5	2	3
5	9	3	4
9	11	4	5
11	12	5	5
9	12	4	5
3	6	2	3
6	10	3	4
10	16	4	5
16	17	5	6
6	18	3	4
18	23	4	5
18	22	4	5
22	28	5	6
28	31	6	7
28	30	6	7
30	31	7	7
31	35	7	8
30	36	7	8
6	19	3	4
0	2	0	1
2	7	1	2
7	8	2	3
8	15	3	4
15	19	4	4
7	14	2	3
14	20	3	4
14	29	3	4
20	25	4	5
25	29	5	4
20	24	4	5
24	26	5	6
26	27	6	7
7	13	2	3
13	21	3	4
21	33	4	5
33	37	5	6
33	48	5	6
37	41	6	7
25	32	5	6
32	34	6	7
34	39	7	8
39	44	8	9
39	43	8	9
34	45	7	8
45	49	8	9
45	52	8	9
49	51	9	10
32	40	6	7
32	38	6	7
38	42	7	8
41	42	7	8
42	47	8	9
42	46	8	9
37	48	6	6
48	50	6	7
50	53	7	8
50	56	7	8
56	57	8	9
56	61	8	9
61	62	9	10
48	54	6	7
54	55	7	8
54	59	7	8
59	60	8	9
60	64	9	10
55	58	8	9
58	60	9	9
58	63	9	10
