node	cx	cy	scaled_cx	scaled_cy	depth
0	303.6	324.9	0	0	0
1	338.2	327.5	0.10846395	0.008733624	1
2	320.8	366.2	0.053918495	0.138730265	1
3	390.7	336.9	0.273040752	0.040309036	1
4	358.8	362.2	0.173040752	0.12529392	2
5	326.8	409.4	0.072727273	0.283842795	2
6	457.9	335.1	0.48369906	0.034262681	2
7	429.9	378.2	0.395924765	0.179039301	2
8	377.2	415.4	0.230721003	0.303997313	2
9	350.2	449.7	0.146081505	0.419213974	3
10	317.9	462.8	0.044827586	0.463218005	3
11	526	359	0.697178683	0.114544844	3
12	471	394.3	0.52476489	0.233120591	3
13	439.9	477.8	0.427272727	0.5136043	3
14	396.7	455.7	0.29184953	0.439368492	3
15	377.2	493.4	0.230721003	0.566006046	4
16	346.1	577.5	0.13322884	0.848505207	4
17	572.8	384.2	0.843887147	0.199193819	4
18	532	394.3	0.715987461	0.233120591	4
19	511.1	434.8	0.650470219	0.369163588	4
20	479	450.9	0.54984326	0.423244877	5
21	406	507.1	0.321003135	0.612025529	5
22	370.8	535.7	0.210658307	0.708095398	5
23	557.1	434.8	0.794670846	0.369163588	5
24	520	471.6	0.678369906	0.492777964	5
25	490.9	481.5	0.587147335	0.526032919	6
26	448.2	533.3	0.453291536	0.700033591	6
27	394	577.5	0.28338558	0.848505207	6
28	536.3	511.8	0.729467085	0.627813235	6
29	483	523.8	0.562382445	0.668122271	7
30	445.9	577.5	0.446081505	0.848505207	7
31	457.9	622.6	0.48369906	1	7
32	396.7	612.8	0.29184953	0.967080954	8
33	557.1	602.5	0.794670846	0.932482365	8
