"Time"	YDR216W	YKL015W	YGL181W	YGL254W	YMR019W	YJR147W	YOL089C	YCR096C	YCR097W	YCL066W	YLR366W	YER171W	YHL032C	YDR223W	YMR017W	YDL159WA	YPL092W	YOL154W	YBR226C	YAR050W	YJL193W	YCL039W	YHL035C	YDR084C	YDL117W	YDL050C	YNL268W	YKL178C	YKL005C	YDR292C	YNL014W	YFR007W	STA3	YKL197C	YOR056C	YFR042W	YJL195C	YLR126C	YKL176C	YBR292C	YLL056C	YBR227C	YMR118C	STA1	YAL067C	YKL175W	YOR263C	YDL119C	YDR057W	YCR039C	YJR140C	YPL215W	YCR108C	YMR303C	YJR141W	YDL073W	YOR057W	YLR212C	YNL050C	YOL086C	YHR155W	YNL270C	YPL243W	YBL064C	YGR257C	YBR228W	YDL206W	YFR041C	YDR071C	YHR028C	YDR099W	YDR210WD	YJR013W	YEL020C	YPR118W	YNL114C	YLR311C	YGR107W	YAL022C	YOL155C	YDR282C	YDL024C	YLL059C	YMR238W	YMR041C	STA2	YBL063W	YAL065C	YLR312WA	YPL147W	YLL055W	YLR365W	YBR257W	YBR256C	YKL219W	YLR143W	YOR368W	YGR027WA	YOL164WA	YLR410WB

0	1.0000000	0.3811597	0.2895186	0.4645330	0.9707221	1.0000000	1.0000000	0.7323843	0.2557068	0.6145198	0.9982059	0.5645709	0.1176264	0.0766376	0.3521445	0.1491681	0.8187420	0.5566161	0.2424309	0.4806108	0.9718068	0.8634355	0.9276802	0.8191776	0.9609931	0.8315361	0.9912011	0.8008911	0.6925838	0.9952165	0.3932015	0.5388828	0.3490953	0.3799666	0.9710319	0.8505126	0.6101572	0.1654919	0.7827478	0.0315810	0.1161598	0.0443860	0.1944546	0.9003505	0.9310916	0.0750019	0.7935142	0.0401291	0.0546629	0.2283654	0.5213361	0.9894948	0.9242067	0.7381625	0.0751455	0.5892526	0.0571774	0.5900898	0.9965726	0.9620487	0.1586915	0.4539991	0.9599926	0.0623107	0.9715848	0.0974978	0.4064741	0.3251476	0.2198507	0.5173816	0.0441071	0.1149810	0.2501542	0.9090582	0.0131411	0.2587404	0.6863798	0.6089129	0.6331575	0.9955759	0.3967289	0.1054384	0.9923818	0.4126616	0.0900310	0.8330098	0.0144217	0.4921613	0.9307032	0.7711253	0.0285602	0.9996988	0.3256964	0.3956462	0.1379662	0.8510954	0.3259452	0.8266980	0.6371181	0.8436371
1	1.0000000	0.3811597	0.2895180	0.4645294	0.9707221	1.0000000	1.0000000	0.7346028	0.2527601	0.6145040	0.9982060	0.5645709	0.1176264	0.0766461	0.3402841	0.1491681	0.8187241	0.5467273	0.2404677	0.4806119	0.9718108	0.8633750	0.9276822	0.8191775	0.9609934	0.8315475	0.9905402	0.8012340	0.6925559	0.9952165	0.3932014	0.5388831	0.3415616	0.3799658	0.9710319	0.8505133	0.6101599	0.1654912	0.7846148	0.0315808	0.1150474	0.0443860	0.1944546	0.9003483	0.9265423	0.0882239	0.7943618	0.0401289	0.0546629	0.2283663	0.5208784	0.9894949	0.9242068	0.7381625	0.0751453	0.5892527	0.0571765	0.5846670	0.9965726	0.9620488	0.1564705	0.4540009	0.9599980	0.0600180	0.9715838	0.0974978	0.4063000	0.3212170	0.2198489	0.5085744	0.0441071	0.1149809	0.2443740	0.9090595	0.0131410	0.2587392	0.6863803	0.6089141	0.6331462	0.9955759	0.3967154	0.1069508	0.9924125	0.4127116	0.0900304	0.8329723	0.0144220	0.4921782	0.9307027	0.7711254	0.0278027	0.9996994	0.3256964	0.3899759	0.1379613	0.8444410	0.3270366	0.8129224	0.6505038	0.8436392
2	1.0000000	0.3811597	0.2895174	0.4645258	0.9707220	1.0000000	1.0000000	0.7367688	0.2499134	0.6144865	0.9982060	0.5645709	0.1176264	0.0766544	0.3288306	0.1491681	0.8187065	0.5370552	0.2385374	0.4806130	0.9718147	0.8633153	0.9276842	0.8191775	0.9609937	0.8315588	0.9898928	0.8015708	0.6925283	0.9952165	0.3932012	0.5388833	0.3342057	0.3799651	0.9710319	0.8505140	0.6101626	0.1654906	0.7864230	0.0315807	0.1139643	0.0443860	0.1944546	0.9003465	0.9221445	0.1012067	0.7951908	0.0401288	0.0546629	0.2283702	0.5204299	0.9894949	0.9242070	0.7381625	0.0751451	0.5892529	0.0571757	0.5793239	0.9965726	0.9620489	0.1542960	0.4540027	0.9600033	0.0578096	0.9715829	0.0974978	0.4061284	0.3173779	0.2198471	0.4999703	0.0441071	0.1149809	0.2387340	0.9090608	0.0131408	0.2587380	0.6863808	0.6089153	0.6331352	0.9955758	0.3967022	0.1084316	0.9924423	0.4127608	0.0900299	0.8329359	0.0144224	0.4921948	0.9307022	0.7711254	0.0270689	0.9997001	0.3256964	0.3844139	0.1379565	0.8379218	0.3280889	0.7995413	0.6623312	0.8436412
3	1.0000000	0.3811597	0.2895168	0.4645224	0.9707220	1.0000000	1.0000000	0.7388833	0.2471634	0.6144658	0.9982061	0.5645709	0.1176264	0.0766626	0.3177698	0.1491681	0.8186891	0.5275951	0.2366393	0.4806141	0.9718186	0.8632563	0.9276861	0.8191775	0.9609941	0.8315698	0.9892589	0.8019045	0.6925012	0.9952165	0.3932010	0.5388835	0.3270233	0.3799643	0.9710319	0.8505147	0.6101652	0.1654900	0.7881741	0.0315805	0.1129098	0.0443860	0.1944546	0.9003457	0.9178930	0.1139547	0.7960017	0.0401286	0.0546629	0.2283797	0.5199904	0.9894949	0.9242071	0.7381625	0.0751448	0.5892530	0.0571749	0.5740595	0.9965726	0.9620490	0.1521670	0.4540044	0.9600085	0.0556824	0.9715820	0.0974978	0.4059593	0.3136281	0.2198454	0.4915647	0.0441071	0.1149809	0.2332308	0.9090620	0.0131407	0.2587369	0.6863813	0.6089164	0.6331244	0.9955758	0.3966891	0.1098815	0.9924714	0.4128092	0.0900294	0.8329012	0.0144227	0.4922112	0.9307017	0.7711254	0.0263581	0.9997007	0.3256964	0.3789581	0.1379518	0.8315348	0.3291037	0.7865434	0.6727818	0.8436432
4	1.0000000	0.3811597	0.2895162	0.4645189	0.9707219	1.0000000	1.0000000	0.7387292	0.2474534	0.6144406	0.9982062	0.5645709	0.1176264	0.0766707	0.3189490	0.1491681	0.8186720	0.5282343	0.2367349	0.4806152	0.9718223	0.8631981	0.9276880	0.8191774	0.9609944	0.8315807	0.9892988	0.8019205	0.6924745	0.9952165	0.3932009	0.5388838	0.3275726	0.3799636	0.9710319	0.8505154	0.6101677	0.1654894	0.7880024	0.0315804	0.1129953	0.0443860	0.1944546	0.9003461	0.9183435	0.1132464	0.7959473	0.0401285	0.0546629	0.2283967	0.5200173	0.9894950	0.9242073	0.7381625	0.0751446	0.5892531	0.0571741	0.5743145	0.9965726	0.9620491	0.1523036	0.4540061	0.9600136	0.0559263	0.9715811	0.0974978	0.4057928	0.3138955	0.2198436	0.4921602	0.0441071	0.1149809	0.2336412	0.9090632	0.0131406	0.2587358	0.6863818	0.6089176	0.6331137	0.9955758	0.3966763	0.1097874	0.9924690	0.4128568	0.0900289	0.8328687	0.0144231	0.4922274	0.9307013	0.7711254	0.0264272	0.9997005	0.3256964	0.3792764	0.1379471	0.8319356	0.3289908	0.7877007	0.6686301	0.8436451
5	1.0000000	0.3811597	0.2895156	0.4645156	0.9707219	1.0000000	1.0000000	0.7385788	0.2477335	0.6144108	0.9982062	0.5645709	0.1176264	0.0766786	0.3200877	0.1491681	0.8186552	0.5288594	0.2368289	0.4806162	0.9718261	0.8631406	0.9276898	0.8191774	0.9609947	0.8315915	0.9893379	0.8019444	0.6924483	0.9952165	0.3932007	0.5388840	0.3281102	0.3799629	0.9710319	0.8505160	0.6101702	0.1654888	0.7878362	0.0315802	0.1130786	0.0443860	0.1944546	0.9003478	0.9187792	0.1125509	0.7958941	0.0401283	0.0546629	0.2284210	0.5200437	0.9894950	0.9242074	0.7381625	0.0751444	0.5892532	0.0571733	0.5745658	0.9965726	0.9620492	0.1524374	0.4540078	0.9600186	0.0561613	0.9715803	0.0974977	0.4056287	0.3141567	0.2198419	0.4927420	0.0441071	0.1149808	0.2340416	0.9090644	0.0131404	0.2587346	0.6863823	0.6089187	0.6331033	0.9955757	0.3966637	0.1096953	0.9924667	0.4129036	0.0900284	0.8328383	0.0144234	0.4922433	0.9307008	0.7711254	0.0264941	0.9997004	0.3256964	0.3795886	0.1379425	0.8323281	0.3288819	0.7888248	0.6649617	0.8436470

0	1.0000000	0.3811597	0.2895186	0.4645330	0.9707221	1.0000000	1.0000000	0.7323843	0.2557068	0.6145198	0.9982059	0.5645709	0.1176264	0.0766376	0.3521445	0.1491681	0.8187420	0.5566161	0.2424309	0.4806108	0.9718068	0.8634355	0.9276802	0.8191776	0.9609931	0.8315361	0.9912011	0.8008911	0.6925838	0.9952165	0.3932015	0.5388828	0.3490953	0.3799666	0.9710319	0.8505126	0.6101572	0.1654919	0.7827478	0.0315810	0.1161598	0.0443860	0.1944546	0.9003505	0.9310916	0.0750019	0.7935142	0.0401291	0.0546629	0.2283654	0.5213361	0.9894948	0.9242067	0.7381625	0.0751455	0.5892526	0.0571774	0.5900898	0.9965726	0.9620487	0.1586915	0.4539991	0.9599926	0.0623107	0.9715848	0.0974978	0.4064741	0.3251476	0.2198507	0.5173816	0.0441071	0.1149810	0.2501542	0.9090582	0.0131411	0.2587404	0.6863798	0.6089129	0.6331575	0.9955759	0.3967289	0.1054384	0.9923818	0.4126616	0.0900310	0.8330098	0.0144217	0.4921613	0.9307032	0.7711253	0.0285602	0.9996988	0.3256964	0.3956462	0.1379662	0.8510954	0.3259452	0.8266980	0.6371181	0.8436371
1	1.0000000	0.3753407	0.2909812	0.4645285	0.9707220	1.0000000	1.0000000	0.7326809	0.2557068	0.6209916	0.9982200	0.5743112	0.1176264	0.0766460	0.3521448	0.1491681	0.8187241	0.5545409	0.2393379	0.4865948	0.9719150	0.8633750	0.9276825	0.8191775	0.9609934	0.8315479	0.9913716	0.8009155	0.6956316	0.9952165	0.3932014	0.5388831	0.3491212	0.3799658	0.9710656	0.8505133	0.6101599	0.1654907	0.7827470	0.0310640	0.1161597	0.0443860	0.1944546	0.9003482	0.9126871	0.0818333	0.7971934	0.0401289	0.0546629	0.2333952	0.5213360	0.9895407	0.9242068	0.7381625	0.0751453	0.5892527	0.0561666	0.5901095	0.9966938	0.9623086	0.1586914	0.4540020	0.9599980	0.0600186	0.9716163	0.0974978	0.4063000	0.3251469	0.2187822	0.5173816	0.0441071	0.1149809	0.2501541	0.9090595	0.0131410	0.2587382	0.6863819	0.5936576	0.6331462	0.9955758	0.3967156	0.1054369	0.9923818	0.4104702	0.0900301	0.8329726	0.0140961	0.4895118	0.9307024	0.7723728	0.0285602	0.9997139	0.3256964	0.3956459	0.1392478	0.8510994	0.3259452	0.8179511	0.6371181	0.8436405
