#Experiment	author	exp_info
1	S. Brokx	BW30270 MOPS glucose log anaerobic r1
1	S. Brokx	BW30270 MOPS glucose log anaerobic r2
2	A. Ito	MG1655 planktonic exponential r1
2	A. Ito	MG1655 planktonic exponential r2
2	A. Ito	MG1655 planktonic exponential r3
3	E. Masse	MG1655 pNM12 arabinose r1
3	E. Masse	MG1655 pNM12 arabinose r2
4	S. Brokx	BW30270 MOPS glucose stationary aerobic r1
4	S. Brokx	BW30270 MOPS glucose stationary aerobic r2
5	T. Allen	EMG2 MOPS glycerol aerobic r1
5	T. Allen	EMG2 MOPS glycerol aerobic r2
6	T. Maeda	TG1 pBS Kan hydrogen production r1
7	A. Ito	MG1655 biofilm attachment r1
7	A. Ito	MG1655 biofilm attachment r2
7	A. Ito	MG1655 biofilm attachment r3
8	S. Brokx	MG1655 MOPS glucose nitrate log anaerobic r1
8	S. Brokx	MG1655 MOPS glucose nitrate log anaerobic r2
9	A. Ito	MG1655 biofilm colony formation r1
9	A. Ito	MG1655 biofilm colony formation r2
9	A. Ito	MG1655 biofilm colony formation r3
10	S. Brokx	MG1655 MOPS glucose log anaerobic r1
10	S. Brokx	MG1655 MOPS glucose log anaerobic r2
11	E. Masse	MG1655 pBAD ryhB r1
11	E. Masse	MG1655 pBAD ryhB r2
12	T. Allen	EMG2 MOPS glucose heat shock 50C t10min r1
13	T. Allen	EMG2 MOPS proline aerobic r1
13	T. Allen	EMG2 MOPS proline aerobic r2
14	X. Yang	BW25113 wt LB t7h biofilm r1
14	J. Lee	BW25113 wt LB free living 7h r1
52	X. Yang	BW25113 wt LB t7h biofilm r1
52	J. Lee	BW25113 wt LB free living 7h r1
15	T. Maeda	TG1 pBS Kan Synhox hydrogen producing cells r1
16	S. Brokx	BW30270 MOPS glucose log aerobic r1
16	S. Brokx	BW30270 MOPS glucose log aerobic r2
17	A. Ito	MG1655 planktonic stationary r1
17	A. Ito	MG1655 planktonic stationary r2
17	A. Ito	MG1655 planktonic stationary r3
18	M. Liu	EMG2 MOPS succinate r1
18	M. Liu	EMG2 MOPS succinate r2
19	M. Kohanski	MG1063 untreated t180 r1
20	S. Brokx	MG1655 MOPS glucose aerobic r1
20	S. Brokx	MG1655 MOPS glucose aerobic r2
21	S. Brokx	BW30270 MOPS glucose stationary anaerobic r1
