#Experiment	author	exp_info
1	D. Rossouw	285 Wild type cells, fermentation, late stationary phase (day 14), replicate 1
1	D. Rossouw	285 Wild type cells, fermentation, late stationary phase (day 14), replicate 2
2	D. Rossouw	VIN13 Wild type cells, fermentation, late stationary phase (day 14), replicate 1
2	D. Rossouw	VIN13 Wild type cells, fermentation, late stationary phase (day 14), replicate 2
2	D. Rossouw	VIN13 Wild type cells, fermentation, late stationary phase (day 14), replicate 3
3	D. Rossouw	VIN13 Wild type cells, fermentation, early stationary phase (day 5), replicate 1
3	D. Rossouw	VIN13 Wild type cells, fermentation, early stationary phase (day 5), replicate 2
3	D. Rossouw	VIN13 Wild type cells, fermentation, early stationary phase (day 5), replicate 3
4	D. Rossouw	BM45 Wild type cells, fermentation, exponential phase (day 2), replicate 1
4	D. Rossouw	BM45 Wild type cells, fermentation, exponential phase (day 2), replicate 2
4	D. Rossouw	BM45 Wild type cells, fermentation, exponential phase (day 2), replicate 3
5	A. Endo	X2180 Wild type cells, untreated, replicate 1
5	A. Endo	X2180 Wild type cells, untreated, replicate 2
6	J. Hesselberth	R276 Wild type cells, no alpha factor control
7	F. Meng	BY4742 Wild type cells, replicate 1
7	F. Meng	BY4742 Wild type cells, replicate 2
7	F. Meng	BY4742 Wild type cells, replicate 3
8	J. Hesselberth	R276 Wild type cells, alpha factor arrested
9	D. Rossouw	285 Wild type cells, fermentation, early stationary phase (day 5), replicate 1
9	D. Rossouw	285 Wild type cells, fermentation, early stationary phase (day 5), replicate 2
9	D. Rossouw	285 Wild type cells, fermentation, early stationary phase (day 5), replicate 3
10	D. Rossouw	BM45 Wild type cells, fermentation, late stationary phase (day 14), replicate 1
10	D. Rossouw	BM45 Wild type cells, fermentation, late stationary phase (day 14), replicate 2
11	D. Rossouw	DV10 Wild type cells, fermentation, exponential phase (day 2), replicate 1
11	D. Rossouw	DV10 Wild type cells, fermentation, exponential phase (day 2), replicate 2
11	D. Rossouw	DV10 Wild type cells, fermentation, exponential phase (day 2), replicate 3
12	M. Goebl	CDC34tm CDC34tm cells, stationary phase, replicate 1
12	M. Goebl	CDC34tm CDC34tm cells, stationary phase, replicate 2
