	Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0	0.0	0.6665114000000001	0.12721860000000002	0.35506459999999995	0.7745715999999999	0.1004299	0.275493	0.6067846	0.7430983	0.6656366	0.6950638000000001
3	150.0	0.18388510000000002	0.061535400000000004	0.4849771	0.6338205	0.40451	0.3375671	0.42000740000000003	0.7324089	0.6402268	0.6970434
6	300.0	0.1502136	0.094808	0.41264120000000004	0.4599706	0.5350145000000001	0.29929279999999997	0.5993621	0.6181808000000001	0.7288696	0.6660468
9	450.0	0.1667014	0.07656139999999999	0.3768678	0.4831358	0.6740419	0.3815948	0.499568	0.5959076999999999	0.7486546	0.7173045
12	600.0	0.5545089	0.14431660000000002	0.4763379	0.6233838	0.3257959	0.32390209999999997	0.41966980000000004	0.72992	0.5791635	0.6029599
15	750.0	0.6988616	0.09592919999999999	0.4025808	0.6477586	0.1278089	0.2934906	0.5680143	0.7435989000000001	0.6819685999999999	0.8213812
18	900.0	0.705819	0.0823597	0.4254553	0.700968	0.0960015	0.330916	0.4627621	0.6610090000000001	0.6866225	0.7453896
21	0.0	0.6927804	0.1735119	0.3080785	0.5990709	0.1445523	0.2494241	0.5905583999999999	0.6367970000000001	0.6891143	0.6944974
24	150.0	0.5868361	0.0880437	0.1935983	0.5846269000000001	0.13154849999999998	0.3849495	0.12131589999999999	0.7072441999999999	0.8166294	0.7047542
27	300.0	0.4709635999999999	0.1159865	0.289219	0.3898388	0.23651020000000003	0.4000143	0.1323223	0.6791003000000001	0.7090849	0.8249540000000001
30	450.0	0.5110939	0.1482319	0.21961689999999998	0.3494604	0.1235777	0.4213528	0.1158488	0.674044	0.7145425	0.7374688
33	600.0	0.6171846	0.1228048	0.3060205	0.6388666999999999	0.1447856	0.382343	0.6519328000000001	0.8569027	0.8328277000000001	0.6102972
36	750.0	0.8290306999999999	0.09963380000000001	0.4407318	0.6614428000000001	0.0912002	0.3014502	0.5312501000000001	0.6374456999999999	0.6898205	0.5949425
39	900.0	0.6694071999999999	0.10780799999999999	0.3228902	0.5764897	0.168397	0.3105481	0.4222378	0.7085699000000001	0.6421272	0.6938667
42	0.0	0.7025545999999999	0.0965407	0.4955335999999999	0.6290043000000001	0.1394119	0.2777284	0.5852446	0.6987308000000001	0.7189791999999999	0.6317014
45	150.0	0.1258573	7.26e-05	0.3444491	0.5332911	0.5828865	0.45616720000000005	0.5854555	0.164159	0.686476	0.6603441
48	300.0	0.1136885	0.0006992999999999999	0.4130228	0.402796	0.7206053000000001	0.6962295000000001	0.5828932	0.1047608	0.7346484000000001	0.6120013000000001
51	450.0	0.070437	0.0001071	0.4381759	0.4398207	0.6032927	0.4893698	0.5182417	0.14453570000000002	0.7245269	0.6900767
54	600.0	0.6485525	0.13968429999999998	0.2905074	0.5659879	0.3116094	0.4739788	0.5869444	0.6502585999999999	0.654988	0.6450216999999999
57	750.0	0.7644666999999999	0.1123633	0.3151357	0.6865068	0.1446601	0.3789285	0.36008290000000004	0.6422635999999999	0.7599345999999999	0.7957661
60	900.0	0.6721184	0.1118654	0.31301609999999996	0.6404274	0.14834	0.3303212	0.4367724	0.7552463	0.7121735	0.6523538000000001
63	0.0	0.7291506999999999	0.1646974	0.5393216	0.7087401999999999	0.1237001	0.24328429999999998	0.39703390000000005	0.7599215	0.6285854000000001	0.6076600999999999
66	150.0	0.7059361999999999	0.20705639999999997	0.16963910000000001	0.47583230000000004	0.1471183	0.4733397	0.0259651	0.2819844	0.35582220000000003	0.7042378
69	300.0	0.6662776999999999	0.2300156	0.2081826	0.3920308	0.15009820000000001	0.5281481	0.0019713	0.2450673	0.27893959999999995	0.8015413
72	450.0	0.7241510999999999	0.2384708	0.2291561	0.3893692	0.1496491	0.4616732	0.0025196999999999997	0.1916132	0.3453198	0.7157578
75	600.0	0.637497	0.1523764	0.3196045	0.5663255	0.1010354	0.48603549999999995	0.5977939999999999	0.7231546	0.6409855999999999	0.6966781999999999
78	750.0	0.6861329	0.1471605	0.4342745	0.5726726	0.1460243	0.34735459999999996	0.46677170000000007	0.6700589	0.7790399	0.7393786999999999
81	900.0	0.756436	0.06646239999999999	0.41273509999999997	0.688654	0.1245277	0.38973309999999994	0.4798852	0.6957703000000001	0.7970938	0.6599206999999999
84	0.0	0.7147163000000001	0.07890119999999999	0.4215624	0.6301302	0.0850342	0.3092021	0.45161940000000006	0.6951691999999999	0.8362663	0.6439763000000001
87	150.0	0.719644	0.05619450000000001	0.34692690000000004	0.48367129999999997	0.027325400000000003	0.3056355	0.1746293	0.8313165000000001	0.19241329999999998	0.717086
90	300.0	0.5962738000000001	0.1384099	0.24275619999999998	0.37649520000000003	0.0333171	0.3098801	0.2135964	0.8112381	0.0377755	0.21175410000000003
93	450.0	0.6819273	0.089656	0.2428435	0.36398259999999993	0.032137099999999995	0.311225	0.1698966	0.7200156	0.06993889999999998	0.1374822
96	600.0	0.801327	0.0697471	0.12846939999999998	0.39603679999999997	0.0941271	0.34457129999999997	0.6164915	0.8255315999999999	0.6486069999999999	0.5994218000000001
99	750.0	0.7609359	0.0562414	0.48233000000000004	0.774945	0.0909344	0.3007214	0.6655727	0.62152	0.7400781	0.6733657
102	900.0	0.5603117	0.1388405	0.24337519999999999	0.7641729	0.10914510000000001	0.2465951	0.5112388	0.6467664000000001	0.8139243	0.7195319
