RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('YCL055W', 'YML047C')	False												YCL055W	YML047C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
1	(1, 1)	1.0	1.0		('YJR060W', 'YAL028W')	False												YJR060W	YAL028W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
2	(2, 2)	2.0	2.0		('YIL131C', 'YER155C')	False												YIL131C	YER155C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
3	(3, 3)	3.0	3.0		('YDR146C', 'YNR054C')	False												YDR146C	YNR054C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
4	(4, 4)	4.0	4.0		('YDL056W', 'YLR412C-A')	False												YDL056W	YLR412C-A	0	6	0	0	272	0.04405013447135218	0.3623656439319898
5	(5, 5)	5.0	5.0		('YCL055W', 'YIL119C')	False												YCL055W	YIL119C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
6	(6, 6)	6.0	6.0		('YIL131C', 'YIL037C')	False												YIL131C	YIL037C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
7	(7, 7)	7.0	7.0		('YHR084W', 'YOR247W')	True	2212.0	('YHR084W', 'YOR247W')	40.0	[(0, -0.18508321721206408, 0.00021263433954001265), (5, -0.19220604366041616, 0.01310638247576433), (10, -0.12562367664707924, 0.056045242496855253), (20, -0.0063141213886242246, 0.94184134502775119), (30, 0.47315054735649753, 0.00010290128268944622), (40, 0.77969117086528417, 2.0941563069024096e-08)]	['+-']	YHR084W	YOR247W	YHR084W	0.0	YOR247W	9.0	YHR084W	YOR247W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
8	(8, 8)	8.0	8.0		('YCL055W', 'YKR076W')	False												YCL055W	YKR076W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
9	(9, 9)	9.0	9.0		('YCL055W', 'YBR023C')	False												YCL055W	YBR023C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
10	(10, 10)	10.0	10.0		('YNL068C', 'YNL180C')	False												YNL068C	YNL180C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
11	(11, 11)	11.0	11.0		('YDL056W', 'YNL289W')	False												YDL056W	YNL289W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
12	(12, 12)	12.0	12.0		('YCL055W', 'YER048C')	False												YCL055W	YER048C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
13	(13, 13)	13.0	13.0		('YKL112W', 'YDR378C')	False												YKL112W	YDR378C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
14	(14, 14)	14.0	14.0		('YDR310C', 'YNL283C')	False												YDR310C	YNL283C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
15	(15, 15)	15.0	15.0		('YMR043W', 'YCL056C')	False												YMR043W	YCL056C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
16	(16, 16)	16.0	16.0		('YGL162W', 'YDR085C')	False												YGL162W	YDR085C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
17	(17, 17)	17.0	17.0		('YDL056W', 'YGR014W')	False												YDL056W	YGR014W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
18	(18, 18)	18.0	18.0		('YLR182W', 'YHR151C')	False												YLR182W	YHR151C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
19	(19, 19)	19.0	19.0		('YJR060W', 'YNL068C')	False												YJR060W	YNL068C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
20	(20, 20)	20.0	20.0		('YLR182W', 'YBR040W')	False												YLR182W	YBR040W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
21	(21, 21)	21.0	21.0		('YJR060W', 'YNL298W')	False												YJR060W	YNL298W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
22	(22, 22)	22.0	22.0		('YDL056W', 'YNR044W')	False												YDL056W	YNR044W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
23	(23, 23)	23.0	23.0		('YNL068C', 'YJL148W')	False												YNL068C	YJL148W	0	6	0	0	272	0.04405013447135218	0.3623656439319898
24	(24, 24)	24.0	24.0		('YCL055W', 'YDR169C-A')	False												YCL055W	YDR169C-A	0	6	0	0	272	0.04405013447135218	0.3623656439319898
25	(25, 25)	25.0	25.0		('YKL112W', 'YNL180C')	False												YKL112W	YNL180C	0	6	0	0	272	0.04405013447135218	0.3623656439319898
